

[2021-02-15 09:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-15 09:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-15 11:11:19] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-15 12:16:13] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-15 12:41:40] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-15 12:50:02] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-15 13:00:06] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-15 15:39:46] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-15 17:00:06] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-15 17:40:48] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-15 18:54:45] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-15 19:04:34] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-15 20:10:02] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-15 20:28:17] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-16 05:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-16 05:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-16 08:21:42] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-16 08:37:34] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-16 09:00:08] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-16 11:20:57] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-16 12:34:05] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-16 12:35:22] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-16 17:00:08] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-16 17:59:59] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-16 19:20:26] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-16 21:00:09] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-16 21:00:09] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-17 00:34:41] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 01:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 01:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 01:00:07] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-17 01:22:40] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 02:33:38] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 03:13:17] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 05:00:08] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 05:00:08] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting


[2021-02-17 07:32:18] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
[2021-02-17 07:38:38] [AppID 892970] CAPIJobStoreUserStats::BInit() - no stats found, aborting
